objectid,format,filename,title,description,latitude,longitude,source,identifier,type,language,rights,rightsstatement,youtubeid,vimeoid,creator,date,subject,location
coll001,image/jpeg,test001.jpg,Piazza Filodrammatici,6,45.13567352294922,45.13567352294922,,,,,,,,,,,,
coll002,image/jpeg,test002.jpg,Corso Campi,28,45.13507080078125,10.021747589111328,,,,,,,,,,,,
